DELITO;CRIMINALIDAD;ES_ARCHIVO;ES_PRECLUSI√ìN;ESTADO;ETAPA_CASO;LEY;DEPARTAMENTO_HECHO;MUNICIPIO_HECHO;AÑO_HECHOS;TOTAL_PROCESOS
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Cundinamarca;SAN BERNARDO;2015;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;SI;NO;NO;INACTIVO;INDAGACI√ìN;Ley 906;Santander;PALMAS DEL SOCORRO;2015;1
VOTO FRAUDULENTO ART. 391 C.P;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Casanare;YOPAL;2011;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;SI;NO;NO;INACTIVO;INDAGACI√ìN;Ley 906;Valle del Cauca;PRADERA;2019;1
DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Cesar;VALLEDUPAR;2019;3
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Caldas;LA DORADA;2011;1
VOTO FRAUDULENTO ART. 391 C.P;SI;NO;SI;INACTIVO;JUICIO;Ley 906;Sucre;SINCELEJO;2011;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;SI;NO;NO;INACTIVO;JUICIO;Ley 906;Boyaca;G√úIC√ÅN;2019;1
VOTO FRAUDULENTO ART. 391 C.P;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Tolima;CAJAMARCA;2015;2
DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Bol√≠var;REGIDOR;2015;1
PERTURBACION DE CERTAMEN DEMOCRATICO ART. 386 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Norte de Santander;VILLA DEL ROSARIO;2019;2
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Valle del Cauca;EL CERRITO;2011;2
INTERVENCION EN POLITICA ART. 422 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Santander;CONTRATACI√ìN;2011;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;SI;NO;NO;ACTIVO;JUICIO;Ley 906;Nari√±o;MAG√úI;2019;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Magdalena;CI√âNAGA;2019;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Tolima;IBAGU√â;2019;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Cundinamarca;COTA;2011;2
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Santander;BARRANCABERMEJA;2019;1
FRAUDE AL SUFRAGANTE ART. 388 C.P.;SI;NO;NO;INACTIVO;INDAGACI√ìN;Ley 906;Sucre;SAN MARCOS;2011;1
CONSTRE√ëIMIENTO AL SUFRAGANTE ART. 387 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;La Guajira;DIBULLA;2011;1
DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Cundinamarca;LA PE√ëA;2019;1
INTERVENCION EN POLITICA ART. 422 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Antioquia;ZARAGOZA;2011;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Caldas;AGUADAS;2019;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Choc√≥;QUIBDO;2011;1
OCULTAMIENTO, RETENCION Y POSESION ILICITA DE CEDULA ART. 395 C.P.;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Valle del Cauca;PALMIRA;2015;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Antioquia;ANOR√ç;2015;1
FRAUDE AL SUFRAGANTE ART. 388 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Cundinamarca;SOACHA;2011;1
OCULTAMIENTO, RETENCION Y POSESION ILICITA DE CEDULA ART. 395 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Caldas;SAN JOS√â;2011;1
DE LA VIOLACION AL EJERCICIO DE MECANISMOS DE PARTICIPACION;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Casanare;YOPAL;2011;2
DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;C√≥rdoba;MONTER√çA;2015;3
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Valle del Cauca;CAICEDONIA;2011;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Tolima;IBAGU√â;2011;5
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Quind√≠o;SALENTO;2011;1
PERTURBACION DE CERTAMEN DEMOCRATICO ART. 386 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Magdalena;PLATO;2015;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Cauca;PIAMONTE;2011;2
FRAUDE AL SUFRAGANTE ART. 388 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Valle del Cauca;PALMIRA;2019;1
INTERVENCION EN POLITICA ART. 422 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Cauca;PAEZ;2015;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Antioquia;VIG√çA DEL FUERTE;2015;1
CONSTRE√ëIMIENTO AL SUFRAGANTE ART. 387 C.P.;SI;NO;NO;ACTIVO;INVESTIGACI√ìN;Ley 906;Cundinamarca;YACOP√ç;2019;1
FRAUDE AL SUFRAGANTE ART. 388 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Nari√±o;PROVIDENCIA;2019;1
ALTERACION DE RESULTADOS ELECTORALES ART. 394  C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Magdalena;CI√âNAGA;2015;1
FRAUDE AL SUFRAGANTE ART. 388 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Putumayo;MOCOA;2015;2
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Magdalena;PEDRAZA;2019;1
DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Santander;CURIT√ç;2011;1
ALTERACION DE RESULTADOS ELECTORALES ART. 394  C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Choc√≥;RIOSUCIO;2019;2
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Tolima;ARMERO;2019;1
CONSTRE√ëIMIENTO AL SUFRAGANTE ART. 387 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Atl√°ntico;SABANALARGA;2019;1
CONSTRE√ëIMIENTO AL SUFRAGANTE ART. 387 C.P.;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Cesar;BOSCONIA;2011;1
PERTURBACION DE CERTAMEN DEMOCRATICO ART. 386 C.P.;NO;NO;NO;ACTIVO;JUICIO;Ley 906;Bol√≠var;SIMIT√ç;2011;1
CONSTRE√ëIMIENTO AL SUFRAGANTE ART. 387 C.P.;SI;NO;NO;INACTIVO;INDAGACI√ìN;Ley 906;Cundinamarca;TOCANCIP√Å;2019;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Cauca;POPAY√ÅN;2015;1
TRAFICO DE VOTOS ART. 390A;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Atl√°ntico;BARRANQUILLA;2019;1
INTERVENCION EN POLITICA ART. 422 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Casanare;OROCU√â;2019;1
VOTO FRAUDULENTO ART. 391 C.P;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Bol√≠var;CARTAGENA;2019;1
CONSTRE√ëIMIENTO AL SUFRAGANTE ART. 387 C.P.;SI;NO;NO;INACTIVO;INDAGACI√ìN;Ley 906;Tolima;IBAGU√â;2011;1
FRAUDE AL SUFRAGANTE ART. 388 C.P.;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Cesar;AGUACHICA;2015;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;BOGOT√Å, D. C.;BOGOT√Å, D.C.;2011;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Arauca;ARAUCA;2019;1
DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;La Guajira;ALBANIA;2015;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Quind√≠o;QUIMBAYA;2011;1
ALTERACION DE RESULTADOS ELECTORALES ART. 394  C.P.;SI;NO;SI;INACTIVO;INDAGACI√ìN;Ley 906;Guain√≠a;IN√çRIDA;2011;1
ALTERACION DE RESULTADOS ELECTORALES ART. 394  C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Nari√±o;IPIALES;2019;1
DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA;SI;NO;NO;INACTIVO;INDAGACI√ìN;Ley 906;Santander;CONTRATACI√ìN;2015;2
VOTO FRAUDULENTO ART. 391 C.P;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Cesar;VALLEDUPAR;2011;2
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Magdalena;PEDRAZA;2011;2
ALTERACION DE RESULTADOS ELECTORALES ART. 394  C.P.;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;La Guajira;MAICAO;2011;2
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;La Guajira;MAICAO;2011;1
ELECCION ILICITA DE CANDIDATOS ART. 389A;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Boyaca;DUITAMA;2019;4
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Nari√±o;T√öQUERRES;2015;1
OCULTAMIENTO, RETENCION Y POSESION ILICITA DE CEDULA ART. 395 C.P.;SI;NO;NO;INACTIVO;INDAGACI√ìN;Ley 906;Putumayo;SAN MIGUEL;2011;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Antioquia;CALDAS;2011;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Antioquia;MURIND√ì;2019;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Norte de Santander;EL CARMEN;2011;1
INTERVENCION EN POLITICA ART. 422 C.P.;SI;NO;NO;INACTIVO;INDAGACI√ìN;Ley 906;La Guajira;RIOHACHA;2015;1
CONSTRE√ëIMIENTO AL SUFRAGANTE ART. 387 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Antioquia;RIONEGRO;2011;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;NO;NO;NO;INACTIVO;EJECUCI√ìN DE PENAS;Ley 906;Meta;ACAC√çAS;2011;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Santander;CURIT√ç;2011;1
CONSTRE√ëIMIENTO AL SUFRAGANTE ART. 387 C.P.;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Huila;NEIVA;2011;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Antioquia;EB√âJICO;2011;1
DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Vaup√©s;MIT√ö;2011;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Caquet√°;SAN JOS√â DEL FRAGUA;2011;1
TRAFICO DE VOTOS ART. 390A;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Antioquia;BETULIA;2019;1
VOTO FRAUDULENTO ART. 391 C.P;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Atl√°ntico;BARRANQUILLA;2019;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Arauca;ARAUCA;2015;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Cundinamarca;GUADUAS;2011;1
DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA;SI;NO;NO;INACTIVO;JUICIO;Ley 906;Antioquia;PUEBLORRICO;2015;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Boyaca;GACHANTIV√Å;2011;1
VOTO FRAUDULENTO ART. 391 C.P;SI;NO;NO;INACTIVO;JUICIO;Ley 906;BOGOT√Å, D. C.;BOGOT√Å, D.C.;2019;1
PERTURBACION DE CERTAMEN DEMOCRATICO ART. 386 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Magdalena;EL BANCO;2011;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Putumayo;VILLAGARZ√ìN;2011;1
OCULTAMIENTO, RETENCION Y POSESION ILICITA DE CEDULA ART. 395 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Putumayo;SAN FRANCISCO;2015;1
VOTO FRAUDULENTO ART. 391 C.P;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Santander;CERRITO;2019;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Tolima;PURIFICACI√ìN;2011;1
CONSTRE√ëIMIENTO AL SUFRAGANTE ART. 387 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Santander;CHARTA;2019;1
INTERVENCION EN POLITICA ART. 422 C.P.;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Risaralda;PEREIRA;2015;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Boyaca;BERBEO;2019;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Nari√±o;MAG√úI;2019;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Boyaca;VIRACACH√Å;2011;1
DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA;SI;NO;NO;INACTIVO;INDAGACI√ìN;Ley 906;Guaviare;CALAMAR;2015;1
INTERVENCION EN POLITICA ART. 422 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Boyaca;TUTA;2015;1
ALTERACION DE RESULTADOS ELECTORALES ART. 394  C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Risaralda;SANTA ROSA DE CABAL;2019;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Cundinamarca;SAN FRANCISCO;2015;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Boyaca;SATIVASUR;2011;1
INTERVENCION EN POLITICA ART. 422 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Magdalena;FUNDACI√ìN;2011;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Meta;VILLAVICENCIO;2011;1
CONSTRE√ëIMIENTO AL SUFRAGANTE ART. 387 C.P.;NO;NO;SI;INACTIVO;INDAGACI√ìN;Ley 906;Antioquia;MEDELL√çN;2011;1
CONSTRE√ëIMIENTO AL SUFRAGANTE ART. 387 C.P.;SI;NO;NO;INACTIVO;INDAGACI√ìN;Ley 906;Meta;LA MACARENA;2011;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Antioquia;SAN FRANCISCO;2011;2
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Cauca;PIENDAM√ì;2011;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Putumayo;PUERTO AS√çS;2015;2
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Magdalena;ARIGUAN√ç;2019;1
OCULTAMIENTO, RETENCION Y POSESION ILICITA DE CEDULA ART. 395 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 1098;Cundinamarca;GIRARDOT;2019;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Norte de Santander;TEORAMA;2015;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Sucre;BUENAVISTA;2011;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Tolima;CARMEN DE APICAL√Å;2019;1
CONSTRE√ëIMIENTO AL SUFRAGANTE ART. 387 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Antioquia;ENVIGADO;2011;1
CONSTRE√ëIMIENTO AL SUFRAGANTE ART. 387 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Cesar;VALLEDUPAR;2019;1
VOTO FRAUDULENTO ART. 391 C.P;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;BOGOT√Å, D. C.;BOGOT√Å, D.C.;2011;1
PERTURBACION DE CERTAMEN DEMOCRATICO ART. 386 C.P.;SI;NO;NO;ACTIVO;INVESTIGACI√ìN;Ley 906;Magdalena;PLATO;2015;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Santander;AGUADA;2011;1
FRAUDE AL SUFRAGANTE ART. 388 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Boyaca;SAN EDUARDO;2015;1
CONSTRE√ëIMIENTO AL SUFRAGANTE ART. 387 C.P.;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Choc√≥;ISTMINA;2011;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Norte de Santander;DURANIA;2019;1
CONSTRE√ëIMIENTO AL SUFRAGANTE ART. 387 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Cundinamarca;F√öQUENE;2015;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Putumayo;LEGU√çZAMO;2011;1
